韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
		2	袛			
			胝			
			底			
			抵			
			弤			
			柢			
			氐			
			牴			
			祗			
			砥			
			詆			
			坻			
			邸			
			徵			
		3	帝			
			致			
			智			
			知			
			緻			
			置			
			蝃	螮		
			碲			
		4	啇			
			滴			
			蒂			
		5	池			
			遞		00101	
		6	弟			
			逮			
			銻			
			彘			
			悌			
			棣			
			隸			
			雉			
			娣			
		7	地			
			治			
		8	碟			
	t	2	體			
		3	剃			
			啻			
			嚏			
			屜			
			替			
			涕			
			滯			
			睇			
			締			
			翅			
			薙			
			褫			
			諦			
		4	鐵			
		5	啼			
			持			
			提			
			綈			
			禔			
			緹			
			鵜			
		6	痔			
	l	2	里			
			李			
			哩			
			俚			
			娌			
			履			
			旅		10110	
			浬			
			澧			
			理			
			禮		00011	
			膂		10110	
			蠡			
			邐			
			裏			
			醴			
			鋰			
			鯉			
		3	攦			
		5	離			
			劙			
			嫠			
			灕			
			摛			
			漓			
			狸			
			璃			
			籬			
			罹			
			犁			
			藜			
			螭			
			酈			
			醨			
			剺			
			厘			
			驪			
			犛			
			魑			
			鸝			
			黎			
			黧			
		6	利			
			鱺			
			盭			
			儷			
			勵			
			厲			
			唳			
			戾			
			捩			
			蒞			
			詈			
			猁			
			癘			
			痢			
			礪			
			糲			
			荔			
			莉			
			蜊			
			砅			
			蠣			
			麗			
		7	例			
			吏			
			哩			
			俐			
		8	咧			
			裂			
	g	1	枝			
			吱			
			嘰			
			機			
			畦		00001	
			基			
			姬			
			岐			
			笄			
			嵇			
			幾			
			朞	期		
			梔			
			乩			
			歧			
			璣			
			畿			
			磯			
			𧝞			
			譏			
			稽			
			箕			
			芰			
			萁			
			肌			
			蟣			
			跂			
			飢			
			饑			
		2	几			
			己			
			屺			
			幾			
			庋			
			杞			
			紀			
			莒			
			麂			
		3	記			
			紀			
			繼			
			廄			
			既			
			暨			
			洎			
			痣			
			罽			
		4	砌			
		5	旗			
			旂			
			棋	碁		
		6	技			
			偈			
			伎			
			企			
			冀			
			妓			
			履			
			薊			
			忌			
			忮			
			窶			
			覬			
			跽			
			驥			
			羈			
	k	1	欺			
			崎			
			敧	欹		
			蹊			
		2	起			
			啓			
			其		00001	
			綮			
			棨			
			䏿			
			芑			
			齒			
		3	氣			
			器			
			愒			
			亟			
			愾			
			憩			
			棄			
