韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
			殛			
			㦸			
			革			
			墼			
			棘			
			檄			
			激			
			緙			
			菊			
			翮			
			跼			
		6	警			
			競			
			儆			
		8	極			
			局			
			鋦			
			湨			
	k	1	卿			
			傾		00100	
			兢			
			筐			
		2	裉			
			肯			
			頃		00100	
			掯			
			啃			
		3	慶			
			檾			
			罄			
			磬			
		4	曲			
			刻			
			擊			
		5	鯨			
			瓊		00100	
			乾		00010	
			勍			
			坰			
			扃			
			擎			
			檠			
			莖			
			黥			
		6	莕		00001	
			杏		00001	
	ng	5	迎		01100	
			凝		01100	
		8	逆			
	gh	8	獄			
			玉			
			鈺			
	h	1	興			
			亨			
			哼			
			脝			
			胸			
			馨			
		2	擤			
		3	興			
		4	黑			
			滆			
			劾			
			核			
			覈			
			覡			
			赩			
			赫			
			鬩			
			閡			
		5	刑			
			型			
			形			
			恆			
			桁			
			王			
			硎			
			行			
			陘			
		6	幸			
			倖			
			杏		11110	
			悻			
			莕		11110	
			行			
			孕		10000	
	z	1	增			
			貞			
			偵			
			僧			
			湞			
			崢			
			掙			
			征			
			噌			
			怔			
			憎			
			蹭			
			曾			
			鉦			
			幀			
			錚			
			鍾			
			鐘			
			赬			
			諍			
			猙			
			琤			
			甑			
			盅			
			睛			
			睜			
			矰			
			楨			
			禎			
			箏			
			精			
			繒			
			鐺			
			䋫			
			舂			
			菁			
			蒸			
			丁			
		2	種			
			腫			
		3	政			
			種			
			症			
			衆		11101	
			證			
		4	則			
			謖			
			叔			
			崱			
			稷			
			燭			
			癪			
		5	嘗			
			曾			
		6	淨			
			靚			
			靖			
		8	一			
			壹			
			弌			
			澤			
	c	1	清			
			偁			
			稱			
			蜻			
			檉			
			圊			
		3	倩			
			稱			
			茜			
			銃			
			蒨			
		4	側			
			惻			
			戚			
			嘁			
			慼			
			斥			
			測			
			粟			
			僳			
			膝		10011	
			槭			
			坼			
		5	情			
			棖			
			橙			
			餳			
	s	1	升	陞		
			惺			
			猩			
			笙			
			生			
			牲			
			眚			
			旌			
			昇			
			甡			
			甥			
			腥			
			勝			
		3	勝			
		4	夕			
			嗇			
			擲			
			奭			
			息			
			媳			
			式			
			悉			
			晰	晳		
			郝			
			析			
			栻			
			銫			
			汐			
			淅			
			湜			
			熄			
			瑟			
			皙			
			螫			
			埴			
			植			
			殖			
			矽			
			碩			
			穡			
			穸			
			蟋			
			窸			
			色			
			蜥			
			螅			
			識			
			軾			
			適			
			釋			
			飾			
		5	成			
			承			
			丞			
			乘			
			誠			
		6	盛			
			乘			
			嵊			
		8	熟			
	r	5	仍		01100	
			礽		01100	
		6	孕		01100	
			媵		11100	
因	null	1	因			
			咽			
			銦			
			堙			
			姻			
			恩		00011	
			摁		00011	
			蒽		00011	
			氤			
			湮			
			煙			
			胭			
			茵			
			裀			
			殷		00011	
			鄄			
			甄			
		2	尹		00011	
			引			
			癮			
			蚓			
			隱		00011	
		3	印			
		4	乙			
			釔			
			一			
			咽			
		5	寅		11110	
			夤		11110	
			演		11110	
			鉛		11110	
			沿		11110	
		7	暈			
		8	逸			
			迭			
			佚			
			佾			
			妷			
			泆			
			軼			
	b	1	乒			
			份		11100	
			彬	斌	11100	
			濱		11100	
			浜		11100	
			檳			
			繽		11100	
			賓		11100	
			豳		11100	
			邠		11100	
			儐		11100	
		2	品		11001	
			匾		11011	
			稟			
			箅			
		3	遍		11000	
			嬪			
			擯			
			殯			
			篦			
			編			
			髕	臏		
			鬢			
		4	必			
			筆			
			觱			
			鉍			
		8	畢		11101	
			篳	蓽	11101	
			苾		11101	
			蹕		11101	
			癟	㿜	11101	
			弼		11100	
			嗶		11101	
	p	2	貶			
			匾		00100	
			品		00110	
			砭			
			屏			
			牝			
		4	匹			
			疋			
		5	貧			
			屏			
			頻			
			蘋			
			濱			
			顰			
			摒			
			瀕			
	m	5	民			
			岷			
			抿			
			緡			
			泯			
			眠			
		7	面			
		8	滅		11110	
			宓			
			密			
			蔑			
			衊			
			覓			
			蠛			
			默			
			謐			
	bh	8	蜜			
	d	3	鎮		11110	
		4	得			
			鍀			
		5	塵			
			藤			
		7	陣			
		8	直			
	t	5	陳			
	n	2	恁			
	l	2	輦			
		5	鄰			
			嶙			
			轔			
			遴			
			鰱			
			鱗			
			麟			
			燐			
			疄			
			瞵			
			磷			
	g	1	斤		00011	
			根		00011	
			觔		00011	
			筋		00011	
			跟		00011	
			鈞		00011	
			巾		00011	
			均		00011	
		2	緊			
			僅		00011	
			廑		00011	
			卺	巹	00011	
			槿		00011	
			殣		00011	
			瑾		00011	
			堇		00011	
			謹		00011	
			饉		00011	
		3	覲		00011	
			艮		00011	
			哏		00011	
			茛		00011	
			靳		00011	
		4	吉		11110	
			橘	桔		
			結			
			碣			
			楬			
			揭			
		6	近		00011	
	k	1	輕			
			氫			
			烴			
		4	乞		00011	
		5	勤		00011	
			芹		00011	
	ng	3	誾		00011	
		5	迎		00011	
			凝		00011	
			銀		00011	
			齦		00011	
			齗		00011	
			鄞		00011	
			狺		00011	
			垠		00011	
			嚚		00011	
	h	1	欣		00011	
			勛	勳	00011	
			掀		00011	
			曛		00011	
			燻		00011	
			薰		00011	
			軒		00011	
			醺		00011	
			昕		00011	
			鍁		00011	
		2	很		00011	
			狠		00011	
		5	暈			
			眩			
		6	恨		00011	
		7	現		11100	
			見		11100	
	z	1	真			
			津			
			溱			
			甄			
			嗔			
			瞋			
			榛			
			蓁			
			薪			
			臻			
		2	振			
			拯			
			賑			
			震			
		3	進			
			搢			
			薦		11110	
			縉			
			牮			
			洊		11110	
			晉			
		4	唧		00100	
			即		00100	
			瘠			
			織		11101	
			浙		11100	
			脊			
			蹐			
			鯽			
			鶺			
		6	藎			
			濜			
			盡			
			儘			
		8	疾		00111	
			嫉		00111	
			蒺		00111	
	c	1	親			
		3	凊			
			櫬			
			稱			
			秤			
			襯			
			齔			
		4	七			
			柒			
			拭			
		5	臣			
			秦			
			螓			
	s	1	身			
			申			
			伸			
			呻			
			新			
			砷			
			紳			
			莘			
			辛			
			鋅			
			騂			
		2	慎		00111	
		3	信			
			囟			
			芯			
			汛			
			訊			
			迅			
		4	失			
			室			
		5	神			
			娠			
			宸			
			晨			
			澠			
			繩			
			蠅			
			辰			
			蜃			
		7	剩			
		8	實			
			殖			
	r	2	忍		00011	
		5	仁			
			人			
		7	認			
		8	日			
音	null	1	音			
			喑			
			愔			
			瘖			
			陰			
		2	飲			
		3	廕			
			蔭	廕		
			窨			
		4	邑			
			挹			
			悒			
			揖			
			浥			
		5	淫			
			蟫			
			霪			
	d	1	鴆			
			酖			
			琛			
			郴			
			燖	燂		
		3	掂			
			揕			
		5	沉			
			沈			
		6	朕			
	n	2	廩		01011	
			懍		01011	
			凜		01011	
			檩		01011	
		5	琳		01000	
			霖		01000	
			林		01000	
			臨		01000	
			淋		01000	
	l	2	廩		10100	
			懍		10100	
			凜		10100	
			檩		10100	
		5	琳		10111	
			霖		10111	
			林		10111	
			臨		10111	
			淋		10111	
		8	立			
	g	1	今			
			金			
		2	錦			
		3	禁			
			噤			
		4	急			
			給			
		6	妗			
		8	及			
			芨			
	k	1	欽			
			嶔	𡼲		
			衾			
			衿			
			襟			
		2	撳			
		4	吸			
			級			
			圾			
			岌			
			汲			
			歙			
			泣			
			笈			
		5	噙			
			檎			
			擒			
			禽			
			鈐			
			琴			
	ng	5	吟			
			岑			
			崟	崯		
			涔			
			芩			
			黔			
	h	1	歆			
			鑫			
		4	翕			
			歙			
		5	熊			
	z	1	斟			
			箴			
		2	枕			
		3	浸			
			寖			
		4	執			
			縶			
		8	集			
			疾		11000	
			嫉		11000	
			蒺		11000	
	c	1	深			
		2	寢			
			鋟			
		3	沁			
			吣	唚		
		4	輯			
			楫			
			膝		01000	
			戢			
			緝			
			葺			
			蕺			
		5	侵			
			尋			
			潯			
			蕁			
			撏			
			駸			
			鱘			
	s	1	心			
			芯			
			蓡			
			森		00011	
			參		00011	
		2	沈			
			審			
			讅			
			嬸			
			慎		11000	
			沁			
			瀋			
			稔			
			諗			
		4	濕	溼		
			隰			
		5	伈			
			忱			
			諶			
			葚			
		6	甚			
		8	什			
			習			
			嶍			
			拾			
			襲			
			鰼			
	r	2	刃			
			仞			
			忍		11100	
			飪			
			訒			
			衽			
			紉	紝		
			荏			
			軔			
			韌			
			妊			
			稔			
			牣			
		6	任			
			恁			
			賃			
			壬			
		7	任			
		8	入			
呀	null	1	呀			
			揶		00001	
		2	野			
			冶			
		4	益			
		5	爺			
			耶			
			椰			
		7	也			
			亦			
		8	驛			
			易			
	b	4	壁			
			璧			
	p	4	僻			
			癖			
	d	1	爹			
		4	摘			
			擢			
			謫			
		8	糴			
	t	4	拆			
	l	8	掠			
	g	1	加			
			迦			
			佳			
			咖			
			嘉			
			珈			
			痂			
			笳			
			葭			
			跏			
			伽			
		2	假			
			賈			
			檟			
			斝			
		3	寄			
		4	揭			
			訐			
		6	崎			
		8	劇			
			屐			
			竭		00001	
	k	3	騎			
		4	隙			
		5	騎			
		6	企			
			跂			
	gh	3	訝			
			迓			
		5	琊			
	h	1	靴			
		3	暇			
			罅			
		4	歇			
		5	霞			
			遐			
			瑕			
		6	下			
			蟻		11010	
			瓦			
		7	瓦			
		8	役		11110	
			額			
	z	1	遮			
		2	者			
			鍺			
			赭			
			姐			
		3	蔗			
			柘			
			炙			
			跖	蹠		
			鷓			
		4	隻			
			迹	跡蹟		
			摭			
		6	籍			
			藉			
			褯			
		7	謝			
		8	食			
	c	1	車			
			硨			
			賒			
			奢			
		4	赤			
	s	2	寫			
			捨			
		3	舍			
			卸			
			捨			
			瀉			
			猞			
			謝			
			赦			
			厙			
		4	峭			
			錫			
			削			
		5	邪			
			佘			
			畲			
			斜			
		6	社			
		7	射			
			榭			
			謝			
			麝			
		8	席			
	r	2	惹			
			喏			
			偌			
腰	null	1	腰			
		2	舀			
		4	約			
		5	姚			
			窑	𡩴窯		
		8	藥			
	b	1	錶			
			標			
			鏢			
			膘			
			鑣			
		2	表			
		3	裱			
			漂			
	p	3	票			
		5	萍			
		6	鰾			
	bh	5	描			
			瞄			
		7	廟			
	d	4	著			
			着			
		5	潮			
		6	趙		00111	
		8	着			
	t	1	挑			
		3	糶			
	l	8	撂		00001	
			略		00001	
	g	3	叫			
		4	角			
			腳			
		5	茄			
			橋			
		6	藠			
		7	轎			
	h	8	葉			
			頁			
	z	1	招			
			椒			
			蕉			
		2	少			
		3	照			
			醮			
			曌			
		4	借			
			質			
			鑕			
		8	石			
			鼫			
	c	3	笑			
		4	尺			
			呎			
		8	席			
			蓆			
	s	1	燒			
		4	惜			
	r	5	橈			
		7	尿			
憂	null	1	憂			
			優			
			鷗			
			呦			
			幽		00001	
			耰			
		2	友			
			有			
			卣			
			牖			
			囮			
			肘			
			莠			
			誘			
			酉			
			鮪			
			黝			
			羑			
			狖			
		5	由			
			有			
			又		11110	
			尤			
			油			
			游			
			猷			
			猶			
			疣			
			繇			
			蕕			
			蚰			
			蝤			
			蝣			
			遊			
			遒			
			郵			
			酋			
			鈾			
			鼬			
			魷			
		6	右			
			佑			
			侑			
			囿			
			宥			
			祐			
			莜			
			釉			
			賄		11110	
		7	柚			
	b	1	彪			
	p	3	漂			
		5	罘			
			芣			
	d	1	丟			
			銩			
		2	佇			
			冑			
			杼			
			肘			
			貯			
			酎			
		5	綢			
		6	宙			
			籀			
			晝			
			紂			
			苧			
	t	1	抽			
		2	丑			
		3	斢			
		5	儔			
			疇			
			籌			
			濤			
			躊			
			幬			
			裯			
	l	2	柳			
			綹			
		3	溜			
			罶			
			籀			
			餾			
			遛			
			霤			
			瀏			
		5	留			
			𨻧			
			流			
			嘍			
			旒			
			榴			
			琉			
			僇			
			瘤			
			硫			
			遛			
			騮			
			飀			
		7	鎦			
			餾			
	g	2	赳			
			糾			
			艽			
			羑			
			韭	韮		
			玖			
			朹			
		3	救			
			究			
		5	球			
		6	咎			
			柩			
			疚			
			糾			
	k	1	丘			
			坵			
			虯			
			蚯			
			鳩			
			龜			
		5	求			
			仇			
			俅			
			裘			
			賕			
			逑			
	z	1	周			
			州			
			啁			
			惆			
			洲			
			盩			
			稠			
			舟			
			賙			
			週			
			鵃			
		2	酒			
		3	咒			
		4	闃			
		6	就			
			僦			
			鷲			
	c	1	秋			
			啾			
			揪			
			愀			
			楸			
			湫			
			甃			
			瞅			
			萩			
			鍬			
			鞦			
			鶖			
			初			
			鞦			
			鰍			
			鬚			
			揫			
		2	手			
			掱			
			醜			
		5	仇			
			售			
			讐	讎		
			犨			
			囚			
			酬			
		7	樹			
	s	1	修			
			脩			
			收			
			梳			
			羞			
			饈			
		2	守			
			首			
			帚	箒		
		3	秀			
			岫			
			宿			
			狩			
			獸			
			琇			
			綉	繡		
			袖			
			銹	鏽		
		5	泅			
		6	受			
			授			
			綬			
		7	壽			
	r	2	煣			
		3	糅			
		5	柔			
			揉			
			猱			
			蹂			
			鞣			
妖	null	1	妖			
			夭			
			殀			
			祅			
			幺	麼		
			吆			
			邀			
			喲			
			要			
		2	窈			
		3	要			
		5	媱			
			徭			
			搖			
			珧			
			瑤			
			繇			
			謠			
			遙			
			鰩			
			鷂			
			颻			
		6	曜			
			耀	燿		
	b	2	俵			
			婊			
			殍			
			表			
			莩			
	p	1	標			
			朴			
			杓			
			漂			
			瓢			
			瘭			
			縹			
			薸			
			螵			
			剽			
			鏢			
			鑣			
			飄	飃		
			飆	飈		
			驃			
			瞟			
		5	嫖			
	m	1	喵			
		2	杪			
			杳			
			淼			
			渺			
			眇			
			秒			
			窅			
			緲			
			藐			
			邈			
		5	描			
			瞄			
			苗			
			錨			
		6	妙			
	d	1	刁			
			凋			
			叼			
			彫			
			碉			
			貂			
			雕	鵰		
			髫			
			鯛			
			汈			
			笤			
			蜩			
			苕			
		3	吊	弔		
			窵			
			銱			
		5	條			
		6	兆			
			召			
			旐			
		7	掉			
			調			
			岧			
	t	1	挑			
			祧			
			迢			
		2	眺			
			佻			
			窕			
		3	跳			
			調			
			銚			
			超			
			艞			
		5	調			
		6	砫			
			柱			
	n	2	嫋			
			蔦			
			溺			
			裊			
		3	皺			
	l	2	了			
			釕			
			撩			
			蓼			
		3	了			
		5	僚			
			嘹			
			醪			
			寥			
			寮			
			撈			
			撩			
			燎			
			獠			
			遼			
			鐐			
			鷯			
			瘳			
			療			
			瞭			
			繚			
			聊			
			蹽			
		7	尥			
			料			
			廖			
	g	1	嬌			
			姣			
			澆			
			驕			
		2	撟			
			攪			
			皦			
			矯			
			繳			
			嶠			
			餃			
			繑			
		6	撬			
	k	1	敲			
			橋			
			磽			
			蹺			
		3	竅			
		5	喬			
			僑			
			蹻			
			蕎			
			鞽			
			䀉			
			荍			
			翹			
			橇			
	ng	1	貓			
		5	堯			
			嶢			
			蕘			
			蟯			
			嘵			
	h	1	僥			
			鴞			
			嘵			
			梟			
			邀			
			驍			
		2	曉			
		5	嬲			
	z	1	昭			
			朝			
			憔			
			剿			
			焦			
			樵			
			招			
			瞧			
			礁			
			蘸			
			釗			
			譙			
			鷦			
			噍			
		2	鳥			
			嘦			
		3	詔			
	c	1	鍬			
		2	悄			
			俏			
			嘲			
			峭			
			愀			
			稍			
			誚			
			潲			
		5	朝			
			晁			
	s	1	消			
			溲			
			宵			
			謏			
			捎			
			搜			
			梢			
			瀟			
			硝			
			筲			
			簫			
			綃			
			翛			
			蒐			
			蛸			
			蠨			
			逍			
			銷			
			霄			
			鞘			
			宿			
			餿			
			螋			
			鎪			
			蕭			
		2	小			
			筱	篠		
			謏			
		3	少			
			筱	篠		
			數			
		6	邵			
			卲			
			劭			
			肇			
			紹			
			召			
			肖			
			韶			
	r	2	爪			
			沼			
			抓			
			擾			
		3	繞			
			縐			
			遶			
		5	饒			
			橈			
			嬈			
央	null	1	央			
			怏			
			泱			
			殃			
			秧			
			鞅			
		2	氧			
			養			
			蛘			
		3	映			
		4	約			
			籥			
			爍			
			爚			
			趯			
			躍			
			鑠			
			鑰			
			瀹			
			龠			
		5	揚			
			徉			
			瘍			
			洋			
			佯			
			暘			
			楊			
			煬			
			陽			
			颺			
		6	癢			
			恙			
			漾			
		8	藥			
	t	3	暢			
			鬯			
	l	2	兩			
			倆			
			輛			
			魎			
		5	良			
			椋			
			梁	樑		
			涼			
			量			
			粱			
		6	亮			
			喨			
			晾			
			諒			
			量			
		8	略		11110	
			撂		11110	
	g	1	疆			
			羌			
			姜			
			殭			
			繮	韁		
			僵			
			蜣			
		2	強			
			襁			
	k	4	卻			
			怯			
		5	強			
			鏹			
	ng	2	仰			
		8	孽			
			臬			
			瘧			
			蘗	櫱		
			虐			
			謔			
			鎳			
	h	1	香			
		2	享			
			嚮			
			響			
			饗			
		3	向			
			嚮			
			垧			
			晌			
			餉			
	z	1	章			
			倀			
			嫜			
			張			
			彰			
			獐			
			璋			
			將			
			螿			
			蟑			
			漳			
			弶			
		2	糨			
			長			
		3	獎			
			漲			
			將			
			嶂			
			幛			
			悵			
			瘴			
			倀			
			障			
			脹			
		4	彴			
			勺			
			杓			
			嚼			
			妁			
			酌			
			灼			
			爵			
			皭			
			芍			
		6	丈			
			匠			
			杖			
			仗			
	c	1	昌			
			倡			
			猖			
			娼			
			菖			
			嗆			
			鯧			
			閶			
		2	廠			
			嗆			
			闡			
			敞			
			氅			
			昶			
		3	唱			
			茜			
			蒨			
			倡			
		4	雀			
			戳			
			鵲			
			綽			
		5	檣			
			長			
			爿			
			薔			
			嬙			
			萇			
			釺			
	s	1	商			
			相			
			勷			
			墒			
			愓			
			瀼			
			襄			
			穰			
			湘			
			湯			
			驤			
			殤			
			觴			
			瓤			
		2	想			
		3	相			
		4	削			
			屑			
		5	祥			
			嫦			
			庠			
			徜			
			裳			
			嘗		00010	
			常			
			詳			
			嚐		00010	
			翔			
			嬋		00001	
		6	上			
			尚			
			象			
	r	2	嚷			
			壤			
			瀼			
			攘			
			𧟄			
			禳			
			釀			
		5	攘			
			扔			
		6	讓			
		8	弱			
			箬	篛		
			若			
			蒻			
嫣	null	1	嫣			
			鳶			
			燕			
			嬿			
			湮			
			焉			
			淵			
			鄢			
			閼			
			蔫			
		2	遠			
			兖			
		3	嚥			
		4	曰		00011	
		5	媛			
			涎			
			湲			
			紈			
			筵			
			鉛		00001	
			寅		00001	
			夤		00001	
			演		00001	
			沿		00001	
			延		00001	
			蜒			
		6	兖			
			延		11110	
			援			
			楥			
			羨			
			胤			
			衍			
			爰			
		7	焉			
	b	1	邊			
			籩			
			鞭			
			浜		00011	
			鯿			
			彬	斌	00011	
			份		00011	
			繽		00011	
			儐		00011	
			賓		00011	
			濱		00011	
			邠		00011	
			豳		00011	
		2	扁			
			萹			
			稨			
			藊			
			碥			
		3	遍		00100	
			變			
		6	便			
			卞			
			弁			
			忭			
			汴			
			辨			
			辯			
		8	別			
			彆			
			弼		00010	
			嗶		00010	
			癟	㿜	00010	
			畢		00010	
			篳	蓽	00010	
			蹕		00010	
			苾		00010	
	p	1	偏			
			便			
			褊			
			犏			
			蝙			
			編			
			扁			
			篇			
			翩			
			蹁			
		3	片			
			遍		00011	
			瓣			
			諞			
			騙			
		4	撇			
		8	弼		00001	
	m	2	免			
			冕			
			勉			
			娩			
			愍			
			憫			
			敏			
			沔			
			浼			
			湣			
			腼	靦		
			湎			
			澠			
			眄			
			緬			
			閔			
			鰵			
			黽			
			丏			
			偭			
		5	綿			
			緬			
		8	滅		00001	
	d	1	珍			
			顛			
			滇			
			癲			
			巔			
		2	展			
			囅			
			典			
			輾			
			搌			
			抻	捵		
			淟			
			腆			
			碘			
			碾			
		3	鎮		00001	
		4	跌			
			厔			
			哲	喆		
			垤			
			帙			
			桎			
			抶			
			輊			
			蜇			
			蛭			
			膣			
			耋			
			絰			
			窒			
			秩			
			瓞			
			軼			
			郅			
			輒			
			迭			
		6	電			
			奠			
			墊			
			殿			
			臀			
			澱			
			淀			
			甸			
			癜			
			簟			
		8	侄	姪		
			跌			
	t	1	天			
		2	蕆			
		4	撤			
			徹			
			轍			
			澈			
		5	佃			
			填			
			廛			
			嗔			
			滇			
			瀍			
			畋			
			瞋			
			纏			
			鈿			
			闐			
	l	2	璉			
			臉		11110	
		5	連			
			鏈			
			漣			
			憐			
			鰱			
			聯			
		6	躪			
			吝			
			藺			
		7	練			
			鍊			
			楝			
			鏈			
			煉			
		8	列			
			傈			
			冽			
			凓			
			慄			
			烈			
			鴷			
			栗			
			溧			
			洌			
			趔			
			鬣			
			篥			
			茢			
	g	1	娟			
			捐			
			堅			
			慳			
			鰹			
			涓			
			鵑			
			蜎			
			蠲			
			鏗			
		3	見			
			狷			
			絹			
			罥			
		4	潔			
			羯			
			吉		00001	
		6	建			
			健			
			腱			
			毽			
			犍			
			鍵			
		8	傑			
			磔			
			竭		11110	
			桀			
	k	1	騫			
			岍			
			愆			
			汧			
			搴			
			褰			
			虔			
			刊		00011	
		2	犬			
			墾		00011	
			懇		00011	
			謇			
			遣			
			譴			
			蹇			
			畎	甽		
			繾			
		4	厥			
			噘			
			孑			
			嶡			
			恝			
			拮			
			挈			
			揳			
			撅			
			擷			
			攫			
			桔			
			橛			
			㵐			
			湨			
			籰			
			瘈			
			鐝			
			詰			
			黠			
			蹶			
			矍			
			钁			
			鍥			
			頡			
			鱖			
			纈			
			蕨			
			虢			
			蠼			
			獗			
		5	乾			
	ng	1	研			
			妍			
		4	契		00011	
			仡		00011	
			吃	喫	00011	
			嚙	齧囓	00011	
			圪		00011	
			屹		00011	
			疙		00011	
			紇		00011	
			訖		00011	
			迄		00011	
		5	迎		10000	
			凝		10000	
	h	1	掀			
		2	顯			
		3	俔			
			峴			
			睍			
			憲			
			讞			
			獻			
			釁			
			絢			
		4	蠍			
		5	嫻	嫺		
			玄			
			泫			
			賢			
			懸		00111	
			炫			
			痃			
			癇			
			眩			
			舷			
			蚿			
			衒			
		7	現		00011	
			見		00011	
	z	1	戔			
			旃			
			濺			
			煎			
			湔			
			箋			
			膻	羶		
			邅			
			韉			
			籛			
			顫			
			鱣			
		2	翦			
			剪			
			戩			
			殄			
			濺			
			燼			
			畛			
			疢			
			餮			
			疹			
			贐			
			縝			
			診			
			踐			
			謭			
			趁			
			軫			
			餞			
		3	顫			
			戰			
			薦		00001	
			洊		00001	
		4	即		11011	
			唧		11011	
			浙		00011	
	c	1	遷			
			躚			
			韆			
			芊			
			阡			
		2	淺			
		4	切			
			趄			
			沏			
	s	1	仙			
			籼	秈		
			祆			
		2	癬			
			鮮			
			洗			
			冼			
			哂			
			尟			
			尠			
			燹			
			蜃			
			矧			
			跣			
			蘚			
			鮝	鯗		
			銑			
		3	搧			
			煽			
			扇			
			騸			
		4	設			
			楔			
			褻			
		5	禪			
			單			
			澶			
			蟬			
			嬗			
		6	闡			
			鱔			
			善			
			禪			
			單			
			墡			
			腎			
			膳			
			繕			
			擅			
			蟮			
			鄯			
	r	5	然			
			另			
			撚			
			燃			
		8	熱			
奄	null	1	淹			
			奄			
			崦			
			懨			
			腌	醃		
			饜			
			閹			
			厭			
			鞥			
		2	掩			
			偃			
			剡			
			厴			
			堰			
			郾			
			蝘			
			鼹	鼴		
			渰			
			罨			
		3	厭			
			黶			
			魘			
		4	壓			
			擪	擫		
			靨			
		5	鹽			
		7	炎			
			琰			
			焰			
			艷	豔		
			扊			
			灧	灩		
		8	葉			
			燁			
	d	1	掂			
			沾			
			敁			
			砧			
			覘			
			詀			
			霑			
			玷			
		2	點			
		3	店			
			惦			
			埝			
			坫			
			痁			
			踮			
		5	甜			
			菾			
		6	苫			
		8	喋			
			堞			
			牒			
			蝶			
			諜			
			蹀			
			鍱			
	t	1	添			
		2	掭			
			忝			
			舔			
			諂			
			餂			
		4	帖			
			貼			
		5	恬			
	n	1	粘	黏	01111	
			拈	撚	01111	
		2	殮		01111	
			斂		01111	
			臉		00001	
			瀲		01111	
			捻		01111	
			撚		01111	
		4	讋			
			囁			
			懾			
			捏	揑		
			攝			
			涅	湼𣵀		
			聶			
			躡			
			苶			
			鑷			
			灄			
			隉			
			顳			
		5	廉		01011	
			臁		01011	
			簾		01011	
			鬑		01011	
			濂		01011	
			奩	匳	01011	
			閻		00001	
			帘		01011	
			蠊		01011	
			鐮		01011	
			鮎		01011	
		6	埝		01111	
			念		01111	
		7	念		01111	
			驗	騐	00001	
			唸		01111	
	l	1	粘	黏	10000	
			拈	撚	10000	
		2	殮		10000	
			斂		10000	
			瀲		10000	
			捻		10000	
			撚		10000	
		5	廉		10100	
			臁		10100	
			簾		10100	
			鬑		10100	
			濂		10100	
			奩	匳	10100	
			帘		10100	
			蠊		10100	
			鐮		10100	
			鮎		10100	
		6	埝		10000	
			念		10000	
		7	念		10000	
			唸		10000	
		8	粒			
	g	1	兼			
			蒹			
			縑			
			螊			
		2	減			
			檢			
			撿			
			瞼			
			鹼			
			碱			
		3	劍			
		4	劫			
			峽			
			愜			
			篋			
			莢			
			郟			
			鋏			
			頰			
		5	鹹			
	k	1	謙			
		2	嗛			
			慊			
			歉			
		3	欠			
		5	拑			
			緘			
			箝	鉗		
			鈐			
		6	儉			
			芡			
	ng	2	儼			
			龑			
			玁			
		5	嚴			
			閻		11110	
			釅			
		7	驗	騐	11110	
		8	鄴			
			業			
	h	2	險			
		5	嫌			
			慊			
		8	協			
			叶			
			俠			
			挾			
			浹			
			狹			
			脅			
			硤			
			蛺			
			陜			
			夾	袷裌		
	z	1	尖			
			漸			
			占			
			呫			
			譫			
			詹			
			瞻			
			幨			
		3	占			
			佔			
		4	接			
		6	漸			
			暫			
		8	婕	倢		
			捷			
			洽			
			睫			
			箑			
	c	1	僉			
			簽			
			籤			
			扦			
		3	僭			
		4	妾			
			竊			
		5	纖			
			殲			
			潜	潛		
	s	1	森		11100	
			參		11100	
		2	苫			
			閃			
			陝			
			䀹	睒		
		4	澀			
			霎			
			倏			
		5	檐			
			孅			
			暹			
			蟬			
			嬋		11110	
			贍			
			蟾			
		8	涉			
			泄	洩		
			渫			
			燮			
			紲	絏		
			躞			
	r	2	染			
			冉			
			苒			
			蚦	蚺		
			髯			
		8	廿			
			念			
雍	null	1	雍			
			灉			
			癰			
			臃			
			邕			
			嬴			
			饔			
			薨			
		2	永		11100	
			壅			
			俑			
			勇			
			甬			
			蛹			
			踴	踊		
		3	咏	詠	11100	
			壅			
			涌	湧		
			恿			
			泳		11100	
			擁			
		5	容			
			傭			
			墉			
			營		11100	
			瑩		10100	
			塋		10100	
			嶸		11100	
			榮		11100	
			庸			
			慵			
			溶			
			滎		10100	
			熒		10100	
			㼆		10100	
			縈		10100	
			蓉			
			融			
			螢		10100	
			蠑		11100	
			嬴		11100	
			贏		11100	
			瀛		11100	
			鏞			
			熔	鎔		
			鱅			
			顒			
			盈		10100	
			榕			
		6	佣			
		8	育			
			鵒			
			浴			
			峪			
			堉			
			毓			
			唷			
			慾			
			淯			
	d	1	中		00001	
		3	中		00001	
	t	4	畜			
			蓄			
			搐			
	g	1	恭			
			穹			
			共			
			芎			
			躬			
		2	拱			
			珙			
			龔			
		4	粥			
			腳			
			鞫			
			鬻			
			麯	麴		
			掬	匊		
			鞠			
	k	2	恐			
			鞏			
		4	克			
			氪			
			可			
			曲			
			蛐			
		5	窮			
			藭			
			筇			
			蛩			
			跫			
			邛			
	h	1	凶			
			兇			
			匈			
			汹	洶		
		4	勖	勗		
			或			
			旭			
			昱			
			毓			
			煜			
			燠			
			頊			
			郁			
			隩			
			馥			
		5	雄			
	s	5	松		00001	
			凇		00001	
			淞		00001	
			菘		00001	
		8	續		00001	
	r	2	冗	宂	00011	
			氄		00011	
		5	扔		00011	
			礽		00011	
			仍		00011	
			戎		00011	
			毧		00011	
			狨		00011	
			絨		00011	
			羢		00011	
			茸		00011	
娃	null	1	娃			
			哇			
			蛙			
			蝸			
